Accuracy,Loss,Number of Clients,Centralized
0.8883495330810547,0.4185475707054138,15,Federated
0.9284789562225342,0.2847843170166015,15,Centralized
0.8912621140480042,0.447663277387619,15,Federated
0.9469255805015564,0.1792561709880828,15,Centralized
0.8864077925682068,0.460344523191452,15,Federated
0.939805805683136,0.1931691318750381,15,Centralized
0.8909385204315186,0.4026561975479126,15,Federated
0.9320388436317444,0.2546607255935669,15,Centralized
0.8948220014572144,0.4026368856430053,15,Federated
0.9365695714950562,0.2025089412927627,15,Centralized
0.8948220014572144,0.4182482361793518,15,Federated
0.9401294589042664,0.2418566197156906,15,Centralized
0.8796116709709167,0.423841118812561,15,Federated
0.9456310868263244,0.1802558898925781,16,Centralized
0.8970873951911926,0.3775146007537842,16,Federated
0.9190938472747804,0.3267922103404999,16,Centralized
0.8792880177497864,0.5032914876937866,16,Federated
0.9430420994758606,0.1802005916833877,16,Centralized
0.9025890231132508,0.3303287029266357,16,Federated
0.9352750778198242,0.2512812912464142,16,Centralized
0.8818770051002502,0.4803840517997741,16,Federated
0.946601927280426,0.1346565783023834,16,Centralized
0.9035598635673524,0.3753939867019653,16,Federated
0.947896420955658,0.1660555899143219,16,Centralized
0.8951456546783447,0.4559516310691833,16,Federated
0.939805805683136,0.218970313668251,16,Centralized
0.8902912735939026,0.4223581850528717,16,Federated
0.9456310868263244,0.1576125919818878,16,Centralized
0.8857605457305908,0.4743499457836151,16,Federated
0.9239482283592224,0.4132393002510071,16,Centralized
0.8792880177497864,0.4101500213146209,16,Federated
0.9271844625473022,0.2802076339721679,16,Centralized
0.8886731266975403,0.4479233920574188,16,Federated
0.937864065170288,0.196020245552063,17,Centralized
0.8954692482948303,0.4071139395236969,17,Federated
0.930420696735382,0.2317413985729217,17,Centralized
0.8867313861846924,0.460193783044815,17,Federated
0.9365695714950562,0.1627116948366165,17,Centralized
0.9045307636260986,0.3147382438182831,17,Federated
0.9359223246574402,0.304157018661499,17,Centralized
0.8935275077819824,0.3937990665435791,17,Federated
0.9420711994171144,0.1584106236696243,17,Centralized
0.9022653698921204,0.3349837362766266,17,Federated
0.9414239525794984,0.1935004293918609,17,Centralized
0.8957929015159607,0.3639349043369293,17,Federated
0.9407767057418824,0.18635293841362,17,Centralized
0.8831714987754822,0.4733840823173523,17,Federated
0.9436893463134766,0.1970693320035934,17,Centralized
0.9022653698921204,0.3643697202205658,17,Federated
