Accuracy,Loss,Number of Clients,Centralized
0.9035598635673524,0.3022068738937378,5,Centralized
0.8906148672103882,0.4608545303344726,5,Federated
0.9038835167884828,0.3342743813991546,5,Centralized
0.8640776872634888,0.4919569194316864,5,Federated
0.9051780104637146,0.5342572331428528,5,Centralized
0.8812297582626343,0.560727596282959,5,Federated
0.8980582356452942,0.5666321516036987,5,Centralized
0.8715210556983948,0.6419084668159485,5,Federated
0.8851132392883301,0.6028966903686523,5,Centralized
0.8831714987754822,0.5381173491477966,5,Federated
0.8999999761581421,0.3444245159626007,5,Centralized
0.8935275077819824,0.4009095728397369,5,Federated
0.9025890231132508,0.3804835379123688,5,Centralized
0.8889967799186707,0.4202133417129516,5,Federated
0.8896440267562866,0.3200728893280029,5,Centralized
0.8922330141067505,0.3989105224609375,5,Federated
0.9016181230545044,0.3361385762691498,5,Centralized
0.8844659924507141,0.4365190863609314,5,Federated
0.8841423988342285,0.5742124319076538,5,Centralized
0.8948220014572144,0.4192015528678894,5,Federated
0.8996763825416565,0.5259838104248047,6,Centralized
0.8724918961524963,0.5854006409645081,6,Federated
0.91553395986557,0.4532163739204407,6,Centralized
0.8825242519378662,0.5993009805679321,6,Federated
0.8864077925682068,0.8489875793457031,6,Centralized
0.9064725041389464,0.3954667747020721,6,Federated
0.9110032320022584,0.355882316827774,6,Centralized
0.8867313861846924,0.4675066173076629,6,Federated
0.8896440267562866,0.421892374753952,6,Centralized
0.901294469833374,0.3656691610813141,6,Federated
0.8922330141067505,0.5631687641143799,6,Centralized
0.8692556619644165,0.6699814200401306,6,Federated
0.90873783826828,0.566967785358429,6,Centralized
0.8844659924507141,0.5660231113433838,6,Federated
0.9035598635673524,0.3069091439247131,6,Centralized
0.8799352645874023,0.4636598229408264,6,Federated
0.8919093608856201,0.3632990419864654,6,Centralized
0.8812297582626343,0.4855686724185943,6,Federated
0.92233008146286,0.278653621673584,6,Centralized
0.8902912735939026,0.3914979696273803,6,Federated
0.9113268852233888,0.443520724773407,7,Centralized
0.8883495330810547,0.4484000504016876,7,Federated
